JE Code,Store,Country,Region,Date,Item,Salesperson,List Price,Actual Price,Discount %
I-1001,Moscow,Russia,EMEA,10-06-18,Microwave,May Wilmot,80,79,1.25%
I-1002,Toronto,Canada,NA,4/23/2015,Microwave,David Shiner,80,54,32.50%
I-1003,Sao Paolo,Brazil,LATAM,04-03-17,Air conditioner,Gary Reynolds,700,686,2.00%
I-1004,Istanbul,Turkey,EMEA,8/14/2018,Ceiling fan,Mark Buntain,150,137,8.67%
I-1005,Sydney,Australia,APAC,03-03-15,Toaster,Christine Davies,50,37,26.00%
I-1006,Shenzhen,China,APAC,4/25/2016,Iron,Gary Shaw,30,29,3.33%
I-1007,Lima,Peru,LATAM,06-06-16,Dishwasher,Christopher Cresswell,500,465,7.00%
I-1008,Tijuana,Mexico,LATAM,06-07-16,Iron,Gillian Allnutt,30,28,6.67%
I-1009,London,UK,EMEA,12-11-15,Washing Machine,Francis Godden,800,760,5.00%
I-1010,Lima,Peru,LATAM,09-07-14,Iron,Christopher Cresswell,30,28,6.67%
I-1011,Riyadh,Saudi Arabia,EMEA,10-07-17,Refrigerator,Danny Brooks,1000,500,50.00%
I-1012,Bangkok,Thailand,APAC,8/21/2014,Air conditioner,John Jenkins,700,679,3.00%
I-1013,Tijuana,Mexico,LATAM,03-09-15,Iron,Richard Allnutt,30,28,6.67%
I-1014,Delhi,India,APAC,5/30/2014,Oven,Tessa Morrow,500,490,2.00%
I-1015,Sydney,Australia,APAC,11-12-18,Washing Machine,James Ricketts,800,672,16.00%
I-1016,Ho Chi Minh City,Vietnam,APAC,5/24/2015,Microwave,Susan Dixon,80,78,2.50%
I-1017,Tel Aviv,Israel,EMEA,12-06-14,Refrigerator,Thomas Gordon,1000,620,38.00%
I-1018,Athens,Greece,EMEA,07-11-17,Oven,David Walker,500,500,0.00%
I-1019,Toronto,Canada,NA,03-11-14,Ceiling fan,Robin Hall,150,150,0.00%
I-1020,Osaka,Japan,APAC,7/23/2016,Refrigerator,Kenneth Walter,1000,950,5.00%
I-1021,Prague,Czech Republic,EMEA,9/28/2017,Washing Machine,Edward Khan,800,736,8.00%
I-1022,Capetown,South Africa,EMEA,4/17/2015,Iron,Nicholas Holloway,30,22,26.67%
I-1023,Bangalore,India,APAC,11/13/2018,Coffee grinder,Delia Muhammad,70,67,4.29%
I-1024,Seattle,USA,NA,2/13/2018,Iron,Lesleyann Pope,30,27,10.00%
I-1025,Jerusalem,Israel,EMEA,2/20/2018,Oven,Susan Carley,500,495,1.00%
I-1026,Birmingham,UK,EMEA,3/22/2016,Vacuum Cleaner,Damien Smith,250,238,4.80%
I-1027,Seoul,South Korea,APAC,07-02-17,Vacuum Cleaner,Steven Wood,250,240,4.00%
I-1028,Toronto,Canada,NA,1/23/2016,Blender,David Shiner,50,43,14.00%
I-1029,Guangzhou,China,APAC,10/28/2015,Oven,Glenys Wright,500,495,1.00%
I-1030,Berlin,Germany,EMEA,12/14/2017,Coffee grinder,Kate Pearce,70,64,8.57%
I-1031,Kansas City,USA,NA,10-07-14,Ceiling fan,Robert Arnold,150,138,8.00%
I-1032,Tokyo,Japan,APAC,10/19/2014,Ceiling fan,David Gow,150,117,22.00%
I-1033,Moscow,Russia,EMEA,10/19/2014,Refrigerator,Darren Brooks,1000,910,9.00%
I-1034,Capetown,South Africa,EMEA,12/13/2018,Washing Machine,Nicholas Holloway,800,584,27.00%
I-1035,Bangkok,Thailand,APAC,10/13/2015,Microwave,Mayank Ali,80,77,3.75%
I-1036,Delhi,India,APAC,11/23/2018,Oven,Glen Campbell,500,500,0.00%
I-1037,Sao Paolo,Brazil,LATAM,7/31/2016,Ceiling fan,Stephen Smith,150,146,2.67%
I-1038,Paris,France,EMEA,11/30/2015,Dishwasher,Caroline Eccles,500,460,8.00%
I-1039,Rome,Italy,EMEA,8/15/2018,Blender,Steven Bell,50,43,14.00%
I-1040,Los Angeles,USA,NA,9/15/2017,Microwave,Colin Matthews,80,72,10.00%
I-1041,New York,USA,NA,7/20/2017,Microwave,Stephen Cohen,80,75,6.25%
I-1042,Sydney,Australia,APAC,10/30/2016,Iron,William Martin,30,26,13.33%
I-1043,Ho Chi Minh City,Vietnam,APAC,3/25/2018,Iron,Michael Bell,30,26,13.33%
I-1044,Shenzhen,China,APAC,7/27/2017,Washing Machine,Roger Rust,800,640,20.00%
I-1045,Athens,Greece,EMEA,11/16/2016,Washing Machine,Richard Perrott,800,520,35.00%
I-1046,Birmingham,UK,EMEA,1/20/2018,Vacuum Cleaner,Robert Reed,250,220,12.00%
I-1047,Warsaw,Poland,EMEA,02-03-15,Air conditioner,Hin Bragg,700,434,38.00%
I-1048,Amsterdam,Netherlands,EMEA,11-02-15,Microwave,Allyson Rush,80,50,37.50%
I-1049,Toronto,Canada,NA,06-09-17,Vacuum Cleaner,Stephen James,250,238,4.80%
I-1050,Prague,Czech Republic,EMEA,10/24/2017,Ceiling fan,Christopher Martin,150,140,6.67%
I-1051,San Fransisco,USA,NA,11/21/2015,Refrigerator,James Scott,1000,740,26.00%
I-1052,Rome,Italy,EMEA,09-06-14,Iron,Elaine Whitfield,30,25,16.67%
I-1053,Dublin,Ireland,EMEA,10/23/2017,Air conditioner,James Carley,700,665,5.00%
I-1054,Bangalore,India,APAC,7/15/2014,Dishwasher,Francis Walsh,500,425,15.00%
I-1055,Moscow,Russia,EMEA,9/16/2014,Microwave,Rita Hill,80,78,2.50%
I-1056,Tel Aviv,Israel,EMEA,10-05-15,Blender,Deanna Wang,50,39,22.00%
I-1057,Sydney,Australia,APAC,7/20/2016,Iron,James White,30,27,10.00%
I-1058,Osaka,Japan,APAC,3/26/2018,Coffee grinder,Jill Thompson,70,64,8.57%
I-1059,Lima,Peru,LATAM,6/23/2014,Toaster,Cheryl Glover,50,36,28.00%
I-1060,San Fransisco,USA,NA,8/30/2018,Blender,Gillan Clark,50,43,14.00%
I-1061,Bogota,Colombia,LATAM,01-04-18,Air conditioner,Antony Westlake,700,693,1.00%
I-1062,Warsaw,Poland,EMEA,5/24/2014,Refrigerator,Hin Bragg,1000,810,19.00%
I-1063,Berlin,Germany,EMEA,03-07-15,Iron,James Whitehead,30,24,20.00%
